school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,pass
GP,F,17,U,GT3,T,4,1,1,1,0,no,yes,yes,no,yes,yes,no,4,2,4,2,2,1,2,17,16,16,1
GP,M,16,U,GT3,T,3,3,3,1,2,no,no,no,no,no,yes,no,4,4,3,1,5,1,5,4,4,4,0
MS,M,17,U,GT3,T,3,2,3,4,0,no,yes,no,no,no,yes,yes,2,4,5,4,1,5,3,12,14,14,1
GP,M,19,R,GT3,T,0,0,1,3,2,no,yes,no,yes,yes,no,yes,3,4,5,3,3,5,3,15,16,15,1
GP,F,19,R,GT3,T,4,4,2,3,1,no,yes,yes,yes,yes,yes,no,2,5,3,1,4,5,5,16,16,16,1
MS,M,19,R,GT3,T,0,1,2,3,0,yes,no,no,yes,yes,yes,no,5,3,2,4,4,1,5,15,15,13,1
GP,F,18,U,LE3,T,4,2,4,1,1,no,yes,no,no,yes,yes,yes,2,3,2,3,2,3,8,9,9,8,0
MS,F,15,U,LE3,T,0,3,2,1,0,no,no,no,yes,yes,yes,no,2,3,2,3,1,1,3,17,17,17,1
GP,M,19,U,LE3,T,1,0,2,1,3,no,no,no,yes,no,yes,no,5,5,4,3,3,5,4,5,4,5,0
GP,M,16,U,LE3,T,2,0,4,2,0,no,yes,no,no,no,yes,no,4,4,5,2,4,3,5,12,11,13,1
GP,M,19,U,GT3,T,2,2,2,2,0,yes,yes,no,yes,yes,yes,yes,5,3,5,2,1,3,5,18,16,17,1
GP,M,18,R,LE3,T,3,3,1,4,0,no,yes,yes,no,yes,yes,yes,1,4,5,2,3,2,6,16,17,17,1
GP,M,16,U,LE3,T,1,0,2,1,0,no,yes,no,no,yes,yes,no,2,2,4,3,2,4,2,13,13,14,1
GP,M,18,U,LE3,T,2,1,1,3,3,no,yes,yes,yes,yes,yes,no,2,3,5,3,5,5,0,9,10,9,0
MS,F,16,U,GT3,T,3,0,1,3,0,no,no,yes,yes,yes,yes,yes,4,2,3,2,4,4,3,17,18,17,1
GP,F,17,U,GT3,T,1,3,1,4,0,no,no,yes,yes,yes,yes,no,3,5,1,3,4,2,4,18,16,16,1
MS,F,15,U,GT3,T,2,4,2,3,0,no,no,yes,no,yes,yes,yes,5,1,4,2,3,4,4,18,16,17,1
GP,F,15,R,GT3,T,0,4,2,4,2,no,no,yes,yes,yes,yes,yes,3,5,1,2,5,5,4,11,12,11,1
MS,M,18,U,GT3,T,4,2,3,1,0,no,no,yes,no,no,yes,no,1,5,3,2,1,2,4,12,12,12,1
GP,F,15,R,GT3,T,1,3,4,3,0,no,yes,yes,no,yes,yes,yes,5,5,2,4,2,4,5,13,11,13,1
GP,F,18,U,LE3,T,3,0,4,1,0,yes,no,no,yes,yes,no,no,1,3,2,3,1,1,6,9,9,10,1
GP,F,18,R,GT3,T,1,0,3,2,0,no,no,yes,yes,yes,no,no,1,2,2,1,3,3,5,8,8,8,0
GP,M,18,R,GT3,T,3,4,1,3,0,no,yes,no,no,yes,yes,no,1,3,4,2,4,2,7,18,16,17,1
MS,F,15,U,GT3,T,1,4,4,2,0,no,no,yes,yes,yes,no,no,5,1,2,1,4,1,3,16,16,17,1
GP,M,18,U,GT3,T,3,1,3,3,0,no,yes,no,no,yes,yes,no,5,5,4,4,1,5,6,19,16,16,1
GP,F,15,R,GT3,T,2,4,1,1,1,no,no,no,yes,no,yes,yes,4,4,4,3,2,3,1,9,7,9,0
GP,F,18,U,GT3,T,0,1,3,4,0,no,no,no,no,yes,yes,no,2,1,1,2,3,2,0,16,15,15,1
GP,M,19,R,GT3,T,2,0,2,1,0,no,no,no,no,yes,yes,no,3,2,2,2,2,3,3,10,11,11,1
MS,M,18,U,LE3,T,0,1,2,1,0,no,yes,yes,no,yes,yes,yes,3,1,5,2,3,2,3,11,11,11,1
MS,F,16,U,GT3,T,2,1,1,1,1,no,no,no,yes,yes,yes,yes,1,3,2,1,2,2,9,11,11,10,1
MS,M,18,R,GT3,T,2,2,1,3,2,no,yes,no,yes,yes,yes,yes,5,4,2,4,1,4,4,14,11,13,1
GP,M,17,R,GT3,T,1,4,2,4,0,no,yes,no,no,no,yes,no,5,3,2,3,5,3,3,17,16,17,1
GP,F,18,U,GT3,T,4,1,4,2,0,yes,no,no,yes,yes,yes,no,1,5,5,4,3,3,3,11,11,11,1
MS,M,16,R,LE3,T,3,0,4,1,0,no,yes,yes,yes,yes,yes,no,2,5,5,2,1,1,8,8,8,8,0
GP,M,16,U,GT3,T,3,3,2,3,0,no,no,no,no,yes,yes,no,3,1,4,4,4,5,2,15,16,19,1
MS,M,15,U,LE3,T,3,1,4,2,0,no,yes,yes,yes,yes,yes,no,4,5,5,1,4,1,2,14,12,14,1
MS,M,19,R,GT3,T,0,4,2,1,0,no,yes,no,yes,yes,no,no,2,5,4,5,2,4,5,9,10,10,1
MS,M,18,R,GT3,T,3,2,3,2,0,no,no,yes,yes,yes,yes,no,5,2,1,5,4,2,1,11,10,10,1
GP,M,15,R,GT3,T,3,0,3,1,2,no,yes,no,no,yes,yes,no,1,2,4,3,5,4,1,7,7,7,0
GP,M,19,U,LE3,T,1,2,3,2,0,no,yes,yes,no,yes,yes,no,3,3,2,3,3,4,6,11,12,11,1
MS,M,18,U,GT3,T,2,3,4,2,0,yes,no,yes,yes,yes,yes,no,1,3,3,4,2,1,4,8,10,10,1
GP,M,17,U,LE3,T,3,1,3,4,0,no,yes,no,yes,yes,yes,no,5,2,3,3,3,2,5,14,16,14,1
GP,M,18,U,GT3,T,4,1,1,4,0,no,no,no,yes,no,no,no,1,1,2,1,3,5,4,15,17,15,1
GP,M,16,U,GT3,T,3,4,1,1,0,no,yes,no,no,yes,yes,no,3,2,4,2,1,4,7,12,13,13,1
MS,F,16,R,GT3,T,0,1,3,3,0,no,yes,yes,yes,no,yes,no,1,3,2,2,4,5,4,13,12,12,1
GP,M,17,U,GT3,A,0,0,1,4,0,no,yes,yes,no,yes,yes,no,3,4,5,4,3,2,6,16,16,15,1
GP,M,15,R,GT3,T,0,3,3,2,0,no,yes,no,yes,yes,yes,no,1,5,4,2,5,2,6,13,12,11,1
GP,F,19,R,LE3,T,3,2,3,4,2,no,yes,no,no,no,yes,no,1,4,2,4,5,1,6,10,12,12,1
GP,M,18,U,LE3,T,1,3,2,4,0,no,yes,no,yes,yes,yes,no,3,4,5,3,4,3,3,15,16,16,1
MS,F,16,R,GT3,T,4,1,3,1,0,no,yes,no,no,yes,yes,yes,1,5,5,3,4,1,6,13,12,11,1
GP,F,15,R,GT3,A,3,2,1,4,0,yes,yes,no,yes,yes,yes,yes,2,2,4,1,2,5,3,20,20,19,1
GP,M,17,U,GT3,T,1,4,4,4,0,no,yes,no,yes,yes,yes,no,4,1,1,2,2,1,2,20,18,18,1
MS,F,16,U,LE3,T,1,3,3,2,0,no,yes,no,no,yes,yes,no,2,4,1,1,2,2,6,17,17,18,1
MS,M,17,U,GT3,T,3,2,2,4,1,no,yes,no,no,yes,no,no,4,1,5,5,4,4,5,13,13,14,1
GP,M,18,U,GT3,A,3,2,1,2,3,no,no,no,yes,yes,yes,no,2,3,1,1,3,3,3,12,10,12,1
MS,F,19,R,GT3,T,1,2,2,4,2,no,no,no,no,yes,no,no,4,4,5,4,1,2,3,13,13,12,1
GP,F,16,U,LE3,T,1,0,3,4,0,no,no,no,no,yes,yes,yes,1,3,1,4,2,4,4,15,16,16,1
GP,F,16,R,LE3,T,1,3,3,3,2,no,yes,yes,no,yes,yes,yes,3,2,5,1,1,5,3,8,10,11,1
MS,M,18,U,GT3,T,3,2,3,4,0,yes,no,yes,yes,no,yes,no,3,4,5,3,5,5,1,16,16,17,1
MS,M,15,U,GT3,T,1,3,3,2,0,no,no,yes,no,yes,yes,yes,5,3,5,5,4,5,2,14,13,14,1
MS,M,19,R,LE3,T,0,2,1,2,0,no,no,no,yes,yes,yes,no,4,3,5,1,5,1,6,11,10,13,1
MS,F,16,U,GT3,T,3,4,4,1,1,yes,yes,yes,yes,no,yes,no,5,2,3,3,2,5,4,13,11,12,1
GP,M,19,U,GT3,T,0,4,3,1,0,no,no,yes,no,yes,yes,no,5,1,1,1,3,5,1,12,12,13,1
GP,M,16,U,GT3,T,2,4,2,3,0,yes,no,no,yes,yes,yes,no,4,1,5,2,2,1,2,17,18,18,1
MS,M,19,U,GT3,T,3,1,1,2,0,no,no,no,yes,yes,yes,no,3,4,2,4,1,4,3,14,15,14,1
GP,F,17,U,LE3,T,2,2,1,2,0,no,yes,no,no,yes,no,yes,4,2,4,2,2,2,3,14,12,12,1
MS,M,16,U,LE3,A,1,1,1,2,0,no,yes,no,no,yes,yes,no,1,4,2,2,3,3,4,8,9,9,0
MS,M,19,U,GT3,T,1,3,2,3,2,no,yes,no,yes,yes,yes,no,5,1,2,5,3,5,5,12,11,11,1
MS,M,15,R,GT3,T,4,1,4,2,0,no,yes,no,yes,no,yes,yes,5,2,3,3,4,5,6,11,9,9,0
GP,F,17,U,LE3,T,1,3,2,1,0,yes,no,no,no,yes,yes,yes,4,5,1,4,4,5,8,12,12,11,1
GP,M,17,U,LE3,T,2,3,2,3,0,yes,yes,no,yes,yes,yes,yes,5,2,3,2,3,1,4,17,17,17,1
GP,M,15,U,GT3,T,1,3,2,1,0,no,yes,yes,no,yes,yes,yes,3,2,1,4,3,1,5,11,11,12,1
GP,F,19,R,LE3,T,3,1,3,1,0,no,yes,no,no,yes,yes,no,5,5,5,3,1,1,6,12,15,14,1
GP,M,18,U,LE3,T,1,2,3,3,0,no,yes,yes,yes,no,yes,no,4,3,3,1,2,3,2,12,12,12,1
GP,M,15,U,LE3,T,4,1,2,4,0,no,yes,yes,no,yes,yes,no,3,3,4,2,4,2,7,17,16,16,1
GP,F,19,U,LE3,T,1,2,2,4,0,no,no,no,no,yes,no,no,3,3,1,3,1,5,5,15,15,15,1
GP,F,15,U,GT3,T,2,2,3,1,0,no,yes,yes,yes,yes,yes,no,5,1,3,4,2,4,3,13,14,14,1
GP,M,15,R,GT3,T,2,3,3,4,0,yes,yes,no,no,yes,yes,yes,4,2,4,3,4,5,10,11,12,12,1
GP,F,16,R,GT3,A,1,1,4,2,0,no,yes,no,no,yes,yes,no,5,5,2,1,1,5,2,18,18,16,1
GP,M,19,U,LE3,T,2,2,2,3,0,no,yes,no,no,yes,no,no,1,1,5,3,5,5,7,16,16,15,1
MS,F,18,R,LE3,T,2,4,1,1,3,no,yes,no,no,yes,yes,no,1,5,5,4,5,5,3,9,9,9,0
GP,M,16,U,GT3,T,4,2,4,2,0,no,no,no,yes,yes,yes,no,3,1,2,2,4,2,2,12,13,13,1
GP,F,15,R,GT3,T,3,4,1,4,0,no,no,yes,yes,yes,yes,no,5,1,3,2,1,4,2,18,17,17,1
GP,M,15,R,GT3,T,4,1,4,2,0,no,no,no,yes,yes,yes,yes,1,1,2,5,2,1,4,10,10,10,1
MS,M,15,U,LE3,T,0,1,2,4,0,no,no,no,yes,yes,yes,no,2,5,4,4,2,4,7,19,20,20,1
GP,M,19,R,GT3,T,4,1,1,1,3,yes,yes,no,yes,yes,no,no,1,4,1,5,1,5,1,11,13,12,1
GP,M,19,R,LE3,T,1,2,3,2,0,yes,no,no,no,yes,yes,yes,5,1,3,5,5,4,3,16,17,16,1
GP,F,16,U,GT3,T,3,0,4,3,0,no,no,yes,no,yes,yes,no,5,3,1,1,1,5,5,14,13,13,1
GP,M,18,U,GT3,T,1,2,1,1,0,no,no,yes,no,yes,yes,no,1,2,2,4,5,4,5,15,13,15,1
GP,F,16,U,GT3,A,0,2,4,2,0,no,yes,yes,no,yes,yes,yes,5,4,5,2,5,3,3,13,11,12,1
GP,F,17,R,LE3,T,3,3,2,2,1,yes,no,yes,no,yes,yes,no,5,4,1,4,2,4,2,13,14,14,1
GP,F,15,R,GT3,T,2,3,1,4,0,no,no,no,yes,yes,no,yes,2,5,1,1,4,1,2,20,17,18,1
MS,F,15,R,GT3,T,4,2,1,1,0,no,no,no,no,yes,yes,no,3,4,5,4,3,1,6,11,10,12,1
MS,M,15,R,LE3,T,1,4,1,1,0,no,yes,yes,yes,yes,no,yes,5,5,1,4,1,4,3,14,16,16,1
GP,M,16,U,LE3,T,0,3,4,1,0,no,no,no,no,yes,yes,no,4,5,1,5,5,4,3,12,13,11,1
GP,F,16,R,LE3,T,2,2,3,1,2,no,no,no,no,yes,yes,yes,3,3,5,4,1,2,3,9,8,8,0
MS,F,15,R,GT3,A,4,0,3,4,0,yes,no,yes,yes,yes,yes,yes,3,1,5,5,4,4,3,16,15,15,1
GP,M,16,U,LE3,T,2,4,3,3,0,no,yes,yes,no,yes,yes,yes,4,4,2,5,4,1,3,15,15,14,1
GP,F,19,U,GT3,T,4,1,2,1,0,no,no,no,no,yes,yes,no,1,1,2,3,3,3,4,13,14,13,1
GP,F,19,R,GT3,T,3,2,1,4,0,no,yes,no,yes,no,yes,no,2,1,1,1,3,1,1,13,13,13,1
GP,F,16,U,GT3,A,2,2,3,3,0,no,yes,no,no,yes,yes,no,5,1,3,5,5,2,7,14,14,14,1
MS,M,15,R,GT3,T,2,4,3,3,0,no,yes,yes,yes,yes,yes,no,1,5,2,4,3,4,6,14,14,15,1
MS,M,16,U,GT3,T,2,3,1,4,0,yes,no,no,yes,yes,yes,no,4,1,2,5,5,3,7,18,17,17,1
GP,F,16,U,LE3,T,3,3,2,1,0,no,yes,yes,no,yes,yes,yes,2,4,3,5,2,1,4,9,9,7,0
GP,F,16,R,LE3,T,0,3,4,3,0,no,yes,yes,no,yes,yes,no,2,5,3,5,5,3,6,17,16,17,1
GP,M,17,U,LE3,T,4,1,4,1,3,no,no,no,no,yes,yes,yes,2,4,5,2,3,5,6,8,8,9,0
GP,M,19,U,GT3,T,2,4,4,1,0,no,no,yes,no,yes,yes,no,4,5,2,2,1,1,4,13,14,16,1
GP,F,18,U,LE3,T,3,4,1,2,0,no,yes,yes,yes,yes,yes,no,1,2,4,2,3,5,5,12,13,11,1
GP,M,18,R,LE3,T,0,3,2,1,0,no,no,yes,no,no,yes,no,5,2,4,2,4,3,4,13,13,13,1
MS,F,17,U,GT3,T,4,3,1,2,0,no,no,yes,no,yes,yes,yes,2,2,1,3,3,4,6,13,13,12,1
GP,F,16,R,GT3,T,3,0,4,3,0,yes,yes,no,no,yes,yes,no,2,2,2,5,2,4,2,15,13,15,1
GP,M,17,U,LE3,T,4,0,3,4,1,no,yes,no,yes,no,yes,yes,1,5,4,3,5,4,6,13,13,13,1
MS,F,17,R,LE3,T,2,2,3,2,0,no,yes,yes,no,no,yes,yes,2,1,2,4,4,5,7,14,13,12,1
MS,M,15,R,LE3,T,0,2,3,4,0,no,yes,yes,no,no,yes,yes,2,3,2,1,5,4,5,15,14,15,1
GP,F,19,U,GT3,T,3,4,4,3,0,no,yes,yes,no,yes,yes,no,4,3,4,3,5,2,2,16,15,15,1
GP,F,18,U,GT3,T,0,4,2,1,0,no,no,no,no,no,no,no,3,2,2,2,3,1,5,10,10,10,1
GP,M,16,U,LE3,A,2,1,4,3,0,no,no,yes,yes,yes,yes,yes,1,1,3,2,1,1,4,11,14,13,1
GP,F,18,U,LE3,T,0,1,1,4,0,no,yes,no,no,yes,yes,yes,1,4,1,4,4,3,6,14,13,15,1
GP,M,18,U,LE3,T,0,0,2,3,0,no,yes,yes,no,yes,yes,no,1,1,5,5,2,5,3,19,18,20,1
MS,F,19,U,LE3,T,1,2,3,1,0,no,yes,yes,yes,yes,yes,no,4,4,4,1,2,1,6,14,15,14,1
GP,F,18,U,GT3,T,0,0,2,3,0,no,yes,no,no,yes,yes,yes,4,3,5,3,1,5,3,15,16,17,1
GP,F,18,U,GT3,A,4,0,2,1,0,no,yes,no,yes,no,yes,yes,5,1,1,5,1,3,5,15,13,14,1
GP,M,17,U,GT3,T,3,2,4,2,0,yes,no,yes,yes,yes,no,no,4,1,3,5,3,4,5,15,16,14,1
GP,F,19,U,GT3,T,1,1,2,4,0,no,no,no,no,yes,yes,no,1,3,3,3,2,3,3,15,18,16,1
MS,M,15,R,LE3,T,3,2,4,1,0,no,yes,no,yes,yes,yes,no,5,1,3,3,4,2,7,8,6,9,0
MS,F,16,U,GT3,T,3,3,1,1,0,no,no,no,yes,yes,yes,no,3,4,3,3,1,4,5,11,11,12,1
GP,M,18,U,GT3,T,2,3,2,3,0,no,yes,no,no,yes,yes,yes,2,1,4,3,1,4,0,17,14,16,1
GP,F,16,U,LE3,T,2,3,2,2,0,no,no,no,yes,yes,yes,yes,2,4,4,2,1,4,2,11,12,12,1
GP,M,15,R,GT3,T,1,4,2,1,0,no,yes,no,yes,yes,yes,yes,5,2,2,5,4,3,6,9,10,9,0
GP,M,16,R,LE3,A,2,1,3,2,0,no,yes,yes,yes,yes,yes,yes,3,1,2,5,2,2,4,14,14,14,1
GP,M,15,R,LE3,T,2,1,4,2,0,no,no,no,yes,yes,yes,no,2,4,1,2,4,5,5,15,16,15,1
GP,M,17,R,LE3,T,2,4,4,3,0,no,yes,no,no,yes,yes,no,5,3,2,5,4,3,1,11,12,11,1
GP,M,18,U,GT3,T,3,0,3,1,0,no,no,yes,no,yes,yes,no,4,2,1,3,3,1,2,11,13,11,1
GP,M,15,R,GT3,T,1,3,4,3,2,no,yes,yes,no,yes,yes,yes,1,1,1,1,1,1,3,12,14,14,1
GP,F,16,R,GT3,T,3,3,1,4,0,no,yes,yes,no,yes,no,no,3,4,1,5,2,3,7,12,12,12,1
GP,F,18,U,GT3,T,4,0,3,4,0,no,yes,no,yes,yes,yes,no,2,1,3,1,3,5,5,18,18,18,1
GP,M,17,R,GT3,T,3,2,4,1,0,no,yes,no,no,yes,yes,yes,1,4,5,1,3,1,6,9,9,10,1
GP,M,18,U,GT3,T,4,2,1,2,0,no,no,no,no,yes,yes,no,5,1,5,2,5,5,7,16,16,16,1
GP,M,15,U,LE3,T,0,1,4,1,0,no,yes,yes,no,yes,no,yes,2,2,4,4,1,4,1,10,10,11,1
MS,F,17,U,GT3,T,0,4,3,1,0,no,no,no,no,yes,yes,yes,1,2,1,5,2,3,6,12,12,11,1
GP,F,16,U,LE3,T,4,1,4,4,0,no,no,no,no,yes,yes,no,4,1,3,2,2,4,2,17,18,18,1
GP,F,17,R,GT3,A,4,2,1,4,0,no,no,yes,no,yes,yes,no,3,1,2,2,2,1,2,16,17,18,1
GP,M,17,U,GT3,A,3,0,1,2,0,no,yes,no,yes,no,yes,yes,5,5,2,1,1,5,3,16,15,16,1
GP,F,19,U,LE3,A,4,1,1,2,0,no,no,no,no,yes,yes,yes,2,1,4,5,2,4,7,16,14,14,1
GP,F,17,U,GT3,T,1,3,4,1,0,no,yes,no,yes,yes,no,no,4,1,4,2,4,1,4,16,17,17,1
GP,F,17,R,GT3,T,0,3,3,3,0,yes,yes,no,yes,yes,no,no,3,2,1,3,4,2,3,19,18,20,1
MS,F,18,U,GT3,T,0,0,4,1,0,no,yes,no,yes,yes,yes,no,3,1,1,2,1,4,4,10,10,10,1
GP,M,16,U,LE3,A,4,2,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,3,2,2,2,10,11,11,1
GP,F,18,R,LE3,T,2,3,3,3,0,no,yes,no,yes,no,yes,yes,2,1,2,4,5,2,1,16,16,16,1
GP,M,18,R,LE3,T,2,3,2,4,0,yes,no,yes,yes,yes,yes,yes,3,5,2,3,5,1,5,16,16,15,1
GP,F,15,U,LE3,T,4,4,4,2,0,no,yes,yes,no,yes,no,yes,5,4,2,3,5,3,5,14,15,16,1
GP,F,18,R,LE3,T,1,1,3,2,0,no,yes,yes,no,yes,yes,yes,1,2,5,1,4,5,5,17,15,16,1
MS,F,19,R,GT3,T,2,2,2,3,2,no,no,no,no,yes,yes,yes,5,3,1,2,5,1,4,11,10,11,1
GP,F,19,R,LE3,T,4,1,4,2,3,no,yes,no,yes,yes,yes,no,3,4,1,4,2,4,1,11,11,10,1
MS,F,15,U,GT3,T,1,2,3,2,0,no,yes,yes,no,yes,yes,yes,1,3,2,2,2,5,3,16,17,17,1
MS,F,16,U,GT3,T,1,3,1,2,0,no,yes,yes,no,no,yes,no,4,2,3,3,5,3,4,11,12,12,1
GP,M,16,U,GT3,T,3,4,1,2,0,yes,no,no,yes,yes,yes,yes,1,5,2,3,3,1,2,15,14,16,1
GP,F,18,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,no,1,2,4,2,5,3,8,12,13,12,1
GP,M,18,U,GT3,T,2,3,2,2,0,no,yes,no,no,no,yes,yes,1,3,3,4,3,4,5,15,16,14,1
GP,M,18,U,GT3,T,2,2,2,2,0,no,yes,no,yes,yes,no,no,3,3,4,4,1,1,7,12,13,12,1
GP,M,16,U,LE3,T,4,1,4,2,2,no,no,no,no,yes,yes,yes,2,2,3,1,1,4,3,12,13,12,1
GP,F,17,U,LE3,T,4,1,1,4,0,no,no,yes,no,yes,yes,no,3,1,4,3,2,5,0,20,19,19,1
GP,F,19,U,GT3,A,1,3,2,2,0,no,no,no,yes,yes,yes,no,2,2,2,3,4,5,4,18,17,18,1
GP,F,17,R,LE3,T,0,1,1,4,0,no,yes,yes,yes,yes,yes,no,4,5,2,1,2,3,3,19,19,20,1
MS,F,17,U,LE3,A,3,4,4,4,1,no,yes,no,yes,yes,yes,yes,4,2,3,2,2,3,4,12,11,12,1
GP,M,16,U,LE3,A,0,4,3,1,0,no,yes,yes,yes,yes,yes,no,4,4,4,3,4,5,5,12,12,12,1
MS,F,17,R,LE3,T,1,3,2,1,0,no,yes,no,no,yes,yes,no,4,1,5,2,2,2,2,13,14,12,1
GP,F,15,U,GT3,T,1,2,2,4,0,yes,yes,no,no,yes,yes,yes,4,4,3,4,4,5,6,17,19,19,1
GP,M,18,R,LE3,T,0,3,3,4,1,no,yes,no,yes,yes,yes,no,5,2,3,5,2,1,3,15,15,16,1
GP,M,15,R,GT3,T,3,4,2,2,0,no,yes,yes,no,yes,no,no,3,1,1,1,1,4,8,18,18,18,1
GP,M,19,U,GT3,T,0,0,4,1,2,no,no,no,yes,yes,yes,no,2,4,3,3,3,5,4,5,6,6,0
MS,F,18,R,GT3,T,4,0,2,3,0,no,yes,yes,yes,yes,yes,no,4,4,5,1,2,5,7,14,14,15,1
MS,F,17,U,GT3,T,2,1,2,1,0,no,no,yes,yes,yes,no,no,5,1,2,4,3,4,6,19,18,19,1
MS,F,19,U,GT3,T,4,1,3,4,0,no,yes,yes,no,yes,yes,no,5,1,4,4,5,4,4,15,15,15,1
GP,F,18,U,LE3,T,2,0,4,4,0,no,yes,no,yes,yes,yes,no,5,3,1,4,2,1,4,15,15,15,1
GP,F,17,U,GT3,T,1,4,1,2,0,no,yes,no,yes,no,yes,no,3,1,4,4,1,4,4,11,11,11,1
MS,F,15,R,GT3,T,3,1,1,2,2,no,yes,no,yes,yes,yes,no,4,2,2,5,4,3,7,6,7,6,0
MS,F,18,U,GT3,T,0,3,3,1,0,no,yes,no,no,yes,yes,no,5,5,3,2,1,5,6,10,10,9,0
MS,F,17,U,GT3,T,3,3,4,2,0,no,yes,no,no,yes,yes,no,5,3,5,2,3,4,5,17,16,16,1
GP,F,15,U,LE3,T,0,4,3,3,0,no,no,no,yes,yes,yes,yes,4,1,1,5,4,1,3,16,14,15,1
GP,M,19,U,GT3,T,4,1,3,3,0,no,no,yes,yes,yes,yes,no,3,5,5,2,1,4,1,15,15,15,1
MS,M,19,U,GT3,T,4,3,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,1,5,2,18,19,18,1
GP,M,19,U,LE3,T,0,1,4,3,0,no,no,no,no,yes,yes,yes,2,2,5,2,1,2,1,16,16,15,1
MS,F,19,R,GT3,T,3,1,4,3,0,no,no,no,yes,yes,yes,yes,1,5,5,1,4,4,5,16,16,16,1
MS,F,16,U,LE3,T,0,3,3,1,0,no,no,no,no,yes,yes,no,1,1,2,2,1,3,3,11,10,12,1
GP,F,18,U,LE3,T,1,0,1,3,3,no,no,no,no,yes,yes,yes,1,1,5,1,1,5,3,11,12,11,1
MS,M,18,U,LE3,T,4,3,4,4,0,no,yes,yes,yes,yes,no,no,3,2,5,3,3,1,7,16,17,16,1
MS,M,16,U,LE3,T,1,4,3,4,1,yes,yes,yes,no,no,yes,no,5,3,2,1,1,5,4,14,15,15,1
GP,F,17,R,GT3,T,4,2,2,1,0,no,yes,no,no,yes,yes,yes,1,5,4,1,1,2,3,10,12,13,1
MS,M,17,U,LE3,T,4,3,1,2,0,yes,yes,yes,no,yes,yes,yes,1,2,2,4,5,1,4,15,15,14,1
GP,F,19,U,GT3,T,2,1,4,1,0,no,yes,yes,yes,no,yes,no,4,3,3,4,4,2,5,12,12,11,1
MS,M,15,U,GT3,A,1,1,4,2,0,no,yes,no,yes,yes,no,no,5,4,2,4,5,2,10,12,12,12,1
GP,M,17,R,LE3,T,1,3,4,2,1,no,no,yes,yes,no,yes,no,5,4,4,1,3,3,9,11,9,10,1
MS,M,15,U,GT3,T,2,2,1,2,0,no,no,no,yes,yes,yes,no,4,3,3,5,5,4,3,11,12,12,1
GP,M,18,U,GT3,T,3,3,3,2,0,no,no,no,no,yes,yes,no,5,1,3,4,2,3,3,15,14,15,1
GP,M,15,R,GT3,T,1,2,2,2,1,no,no,no,no,yes,no,no,2,1,1,4,4,3,4,10,10,9,0
MS,F,18,U,LE3,T,0,2,4,1,0,no,no,yes,no,no,no,no,3,4,5,1,1,3,7,11,13,11,1
GP,M,16,R,GT3,T,2,4,1,2,0,no,yes,yes,no,yes,yes,no,4,1,3,3,5,1,4,14,14,14,1
GP,F,16,R,GT3,T,1,1,4,3,0,no,yes,no,yes,yes,no,no,1,1,3,3,5,4,6,11,9,11,1
MS,M,19,U,LE3,T,3,1,3,3,1,no,yes,yes,no,yes,yes,yes,5,3,4,2,1,4,4,15,16,15,1
MS,M,17,U,LE3,T,1,2,2,2,0,no,no,yes,no,yes,yes,no,2,3,3,3,1,1,5,13,14,13,1
GP,M,19,U,GT3,T,4,1,4,3,0,no,yes,yes,yes,yes,no,no,2,1,4,4,3,3,5,14,14,14,1
GP,F,18,U,LE3,T,0,0,1,4,0,no,no,yes,no,yes,no,no,3,3,5,5,5,3,6,13,12,13,1
GP,M,19,R,GT3,T,2,2,3,1,2,no,yes,yes,yes,no,yes,yes,2,5,1,2,5,2,2,2,3,3,0
GP,M,15,U,LE3,T,4,1,2,1,0,yes,yes,no,no,yes,yes,no,5,4,1,5,2,2,5,11,10,11,1
GP,M,18,U,GT3,T,3,0,1,2,0,no,no,yes,no,yes,yes,yes,5,5,5,5,2,5,4,12,12,13,1
GP,F,16,R,GT3,T,4,4,4,2,0,no,yes,yes,yes,yes,yes,yes,2,5,5,4,5,2,5,15,16,15,1
MS,F,17,U,LE3,T,4,1,1,4,2,no,yes,no,no,no,no,yes,5,1,2,1,2,4,4,9,8,7,0
MS,F,18,U,LE3,T,3,0,2,2,1,no,yes,no,no,no,yes,no,5,1,3,1,5,1,8,15,15,14,1
MS,F,18,U,GT3,T,4,3,3,3,3,no,yes,yes,yes,yes,no,yes,1,5,3,1,4,3,4,11,8,8,0
GP,M,15,U,GT3,T,2,3,3,4,0,no,no,yes,yes,yes,no,yes,4,5,3,3,3,5,4,20,18,18,1
GP,F,17,R,GT3,T,1,0,4,3,0,no,yes,no,yes,yes,yes,yes,5,2,4,1,2,2,3,13,13,13,1
GP,M,16,U,LE3,T,4,2,4,1,0,no,yes,no,no,yes,no,no,5,2,2,4,5,5,4,15,15,15,1
GP,F,18,U,LE3,T,2,2,4,3,1,yes,yes,no,no,yes,yes,yes,3,4,3,3,2,1,6,11,11,11,1
